a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
acpi 1.7-3
acpid 2.0.32-2
adapta-maia-theme 3.94.0.149-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alsa-card-profiles 1:0.3.33-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.5.1-3
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
android-tools 31.0.2-1
android-udev 20210501-1
aom 3.1.2-1
apparmor 3.0.1-3
appstream-glib 0.7.18-3
apr 1.7.0-3
apr-util 1.6.1-8
arandr 0.1.10-6
archlinux-appstream-data 20210723-1
archlinux-keyring 20210802-1
argon2 20190702-3
artwork-i3 20190912-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
atool 0.39.0-7
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.3-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
b43-fwcutter 019-3
babashka-bin 0.5.1-1
babl 0.1.86-1
baobab 40.0-1
bash 5.1.008-3
bashrc-manjaro 5.1.008-3
bauh 0.9.18-1
bc 1.07.1-4
binutils 2.36.1-3
bison 3.7.6-1
bitwarden 1.27.1-2
blas 3.10.0-1
blueberry 1.4.4-1
blueman 2.2.1-1
bluez 5.60-1
bluez-libs 5.60-1
bluez-tools 0.2.0-5
bluez-utils 5.60-1
bmenu 0.16-1
boost-libs 1.76.0-1
brave-browser 1.27.110-1
brotli 1.0.9-4
bspwm 0.9.10-1
btrfs-progs 5.13-1
bubblewrap 0.4.1-2
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.68-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
calibre 5.23.0-2
cantarell-fonts 1:0.301-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
cfitsio 1:4.0.0-1
chmlib 0.40-6
chromaprint 1.5.0-3
chromium 92.0.4515.131-1
cifs-utils 6.13-2
ckbcomp 1.204-1
clang 12.0.1-1
clipit 1:1.4.3-2
clojure 1.10.3.933-2
cmake 3.21.1-1
cmus 2.9.1-1
code 1.58.0-1
colord 1.4.5-4
colord-sane 1.4.5-4
compiler-rt 12.0.1-2
confuse 3.3-3
conky 1.12.2-1
conky-i3 20180507-1
coreutils 8.32-1
cpupower 5.13-1
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.3.6-1
cups 1:2.3.3op2-3
cups-filters 1.28.9-1
cups-pdf 3.0.1-6
cups-pk-helper 0.2.6-4
curl 7.78.0-1
dav1d 0.9.0-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-1
dbus-python 1.2.18-1
dconf 0.40.0-1
dejagnu 1.6.2-2
deluge 2.0.4.dev56+g2e466101f-1
desktop-file-utils 0.26-1
device-mapper 2.03.12-1
dfc 3.1.1-3
dhclient 4.4.2.P1-1
dhcpcd 9.4.0-1
diffutils 3.7-3
ding-libs 0.6.1-3
discord 0.0.15-1
dkms 2.8.4-1
dmenu-manjaro 5.0-2
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.85-1
dnssec-anchors 20190629-3
dos2unix 7.4.2-1
dosfstools 4.2-1
dotconf 1.3-6
double-conversion 3.1.5-2
downgrade 10.1.0-2
dunst 1.6.1-2
dunstify 1.6.1-2
e2fsprogs 1.46.3-3
ecl 21.2.1-1
ecryptfs-utils 111-4
efibootmgr 17-2
efivar 37-4
electron11 11.4.11-1
electron12 12.0.16-1
elfutils 0.185-1
emacs-native-comp-git-enhanced 28.0.50.149343-1
enchant 2.3.0-1
epdfview 0.1.8-11
exfat-utils 1.3.0-2
exiv2 0.27.4-2
exo 4.16.2-1
expac 10-3
expat 2.4.1-1
expect 5.45.4-2
f2fs-tools 1.14.0-2
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-2
faudio 21.08-1
feh 3.7.1-1
ffmpeg 2:4.4-4
ffmpegthumbnailer 2.2.2-2
fftw 3.3.9-1
fig2dev 3.2.8.a-1
file 5.40-5
filelight 21.04.3-1
filesystem 2021.01.19-1
filezilla 3.55.0-2
findutils 4.8.0-1
firefox 90.0.2-1
firefox-developer-edition 91.0b9-1
flac 1.3.3-3
